# /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres vs /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple
# Page stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 53.467 67.000 1604 1604 0.00 0.001 0.007 0.073 0.001 0.004 0.015 0.019
20 1.000 Excellent 103.900 123.000 3117 3117 0.00 0.001 0.010 0.245 0.002 0.005 0.018 0.030
40 1.000 Excellent 200.400 223.000 6012 6012 0.00 0.001 0.015 0.141 0.003 0.011 0.031 0.039
80 1.000 Excellent 251.233 287.000 7537 7537 0.00 0.035 0.139 0.504 0.086 0.126 0.204 0.249


# Page stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 54.600 68.000 1638 1638 0.00 0.001 0.005 0.081 0.001 0.002 0.014 0.021
20 1.000 Excellent 108.733 131.000 3262 3262 0.00 0.001 0.006 0.267 0.001 0.002 0.014 0.021
40 1.000 Excellent 210.167 236.000 6305 6305 0.00 0.001 0.009 0.222 0.001 0.003 0.020 0.027
80 1.000 Excellent 362.000 405.000 10860 10860 0.00 0.001 0.040 0.750 0.004 0.026 0.082 0.110


# Request stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 53.467 67.000 1604 1604 0.00 0.001 0.007 0.073 0.001 0.004 0.015 0.019
20 1.000 Excellent 103.900 123.000 3117 3117 0.00 0.001 0.010 0.245 0.002 0.005 0.018 0.030
40 1.000 Excellent 200.400 223.000 6012 6012 0.00 0.001 0.015 0.141 0.003 0.011 0.031 0.039
80 1.000 Excellent 251.233 287.000 7537 7537 0.00 0.035 0.139 0.504 0.086 0.126 0.204 0.249


# Request stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 54.600 68.000 1638 1638 0.00 0.001 0.005 0.081 0.001 0.002 0.014 0.021
20 1.000 Excellent 108.733 131.000 3262 3262 0.00 0.001 0.006 0.267 0.001 0.002 0.014 0.021
40 1.000 Excellent 210.167 236.000 6305 6305 0.00 0.001 0.009 0.222 0.001 0.003 0.020 0.027
80 1.000 Excellent 362.000 405.000 10860 10860 0.00 0.001 0.040 0.750 0.004 0.026 0.082 0.110


# Page stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres and /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 Apdex*-2 Rating-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
10 1.000 Excellent 53.467 67.000 1604 1604 0.00 0.001 0.007 0.073 0.001 0.004 0.015 0.019 10 1.000 Excellent 54.600 68.000 1638 1638 0.00 0.001 0.005 0.081 0.001 0.002 0.014 0.021
20 1.000 Excellent 103.900 123.000 3117 3117 0.00 0.001 0.010 0.245 0.002 0.005 0.018 0.030 20 1.000 Excellent 108.733 131.000 3262 3262 0.00 0.001 0.006 0.267 0.001 0.002 0.014 0.021
40 1.000 Excellent 200.400 223.000 6012 6012 0.00 0.001 0.015 0.141 0.003 0.011 0.031 0.039 40 1.000 Excellent 210.167 236.000 6305 6305 0.00 0.001 0.009 0.222 0.001 0.003 0.020 0.027
80 1.000 Excellent 251.233 287.000 7537 7537 0.00 0.035 0.139 0.504 0.086 0.126 0.204 0.249 80 1.000 Excellent 362.000 405.000 10860 10860 0.00 0.001 0.040 0.750 0.004 0.026 0.082 0.110


# Request stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres and /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 Apdex*-2 Rating*-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
10 1.000 Excellent 53.467 67.000 1604 1604 0.00 0.001 0.007 0.073 0.001 0.004 0.015 0.019 10 1.000 Excellent 54.600 68.000 1638 1638 0.00 0.001 0.005 0.081 0.001 0.002 0.014 0.021
20 1.000 Excellent 103.900 123.000 3117 3117 0.00 0.001 0.010 0.245 0.002 0.005 0.018 0.030 20 1.000 Excellent 108.733 131.000 3262 3262 0.00 0.001 0.006 0.267 0.001 0.002 0.014 0.021
40 1.000 Excellent 200.400 223.000 6012 6012 0.00 0.001 0.015 0.141 0.003 0.011 0.031 0.039 40 1.000 Excellent 210.167 236.000 6305 6305 0.00 0.001 0.009 0.222 0.001 0.003 0.020 0.027
80 1.000 Excellent 251.233 287.000 7537 7537 0.00 0.035 0.139 0.504 0.086 0.126 0.204 0.249 80 1.000 Excellent 362.000 405.000 10860 10860 0.00 0.001 0.040 0.750 0.004 0.026 0.082 0.110
