# /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple vs /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164350-postgres-cache-redis
# Page stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 54.600 68.000 1638 1638 0.00 0.001 0.005 0.081 0.001 0.002 0.014 0.021
20 1.000 Excellent 108.733 131.000 3262 3262 0.00 0.001 0.006 0.267 0.001 0.002 0.014 0.021
40 1.000 Excellent 210.167 236.000 6305 6305 0.00 0.001 0.009 0.222 0.001 0.003 0.020 0.027
80 1.000 Excellent 362.000 405.000 10860 10860 0.00 0.001 0.040 0.750 0.004 0.026 0.082 0.110


# Page stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164350-postgres-cache-redis
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 53.867 65.000 1616 1616 0.00 0.001 0.006 0.220 0.001 0.002 0.013 0.018
20 1.000 Excellent 104.100 117.000 3123 3123 0.00 0.001 0.006 0.143 0.001 0.003 0.015 0.021
40 1.000 Excellent 210.633 243.000 6319 6319 0.00 0.001 0.010 0.310 0.001 0.003 0.018 0.026
80 1.000 Excellent 376.100 414.000 11283 11283 0.00 0.001 0.030 0.202 0.004 0.023 0.062 0.080


# Request stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 54.600 68.000 1638 1638 0.00 0.001 0.005 0.081 0.001 0.002 0.014 0.021
20 1.000 Excellent 108.733 131.000 3262 3262 0.00 0.001 0.006 0.267 0.001 0.002 0.014 0.021
40 1.000 Excellent 210.167 236.000 6305 6305 0.00 0.001 0.009 0.222 0.001 0.003 0.020 0.027
80 1.000 Excellent 362.000 405.000 10860 10860 0.00 0.001 0.040 0.750 0.004 0.026 0.082 0.110


# Request stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164350-postgres-cache-redis
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 53.867 65.000 1616 1616 0.00 0.001 0.006 0.220 0.001 0.002 0.013 0.018
20 1.000 Excellent 104.100 117.000 3123 3123 0.00 0.001 0.006 0.143 0.001 0.003 0.015 0.021
40 1.000 Excellent 210.633 243.000 6319 6319 0.00 0.001 0.010 0.310 0.001 0.003 0.018 0.026
80 1.000 Excellent 376.100 414.000 11283 11283 0.00 0.001 0.030 0.202 0.004 0.023 0.062 0.080


# Page stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple and /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164350-postgres-cache-redis
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 Apdex*-2 Rating-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
10 1.000 Excellent 54.600 68.000 1638 1638 0.00 0.001 0.005 0.081 0.001 0.002 0.014 0.021 10 1.000 Excellent 53.867 65.000 1616 1616 0.00 0.001 0.006 0.220 0.001 0.002 0.013 0.018
20 1.000 Excellent 108.733 131.000 3262 3262 0.00 0.001 0.006 0.267 0.001 0.002 0.014 0.021 20 1.000 Excellent 104.100 117.000 3123 3123 0.00 0.001 0.006 0.143 0.001 0.003 0.015 0.021
40 1.000 Excellent 210.167 236.000 6305 6305 0.00 0.001 0.009 0.222 0.001 0.003 0.020 0.027 40 1.000 Excellent 210.633 243.000 6319 6319 0.00 0.001 0.010 0.310 0.001 0.003 0.018 0.026
80 1.000 Excellent 362.000 405.000 10860 10860 0.00 0.001 0.040 0.750 0.004 0.026 0.082 0.110 80 1.000 Excellent 376.100 414.000 11283 11283 0.00 0.001 0.030 0.202 0.004 0.023 0.062 0.080


# Request stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164118-postgres-cache-simple and /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T164350-postgres-cache-redis
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 Apdex*-2 Rating*-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
10 1.000 Excellent 54.600 68.000 1638 1638 0.00 0.001 0.005 0.081 0.001 0.002 0.014 0.021 10 1.000 Excellent 53.867 65.000 1616 1616 0.00 0.001 0.006 0.220 0.001 0.002 0.013 0.018
20 1.000 Excellent 108.733 131.000 3262 3262 0.00 0.001 0.006 0.267 0.001 0.002 0.014 0.021 20 1.000 Excellent 104.100 117.000 3123 3123 0.00 0.001 0.006 0.143 0.001 0.003 0.015 0.021
40 1.000 Excellent 210.167 236.000 6305 6305 0.00 0.001 0.009 0.222 0.001 0.003 0.020 0.027 40 1.000 Excellent 210.633 243.000 6319 6319 0.00 0.001 0.010 0.310 0.001 0.003 0.018 0.026
80 1.000 Excellent 362.000 405.000 10860 10860 0.00 0.001 0.040 0.750 0.004 0.026 0.082 0.110 80 1.000 Excellent 376.100 414.000 11283 11283 0.00 0.001 0.030 0.202 0.004 0.023 0.062 0.080
