# /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163151-sqlite vs /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres
# Page stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163151-sqlite
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 37.433 49.000 1123 1123 0.00 0.001 0.090 0.544 0.003 0.031 0.238 0.316
20 1.000 Excellent 50.233 76.000 1507 1507 0.00 0.001 0.216 1.002 0.004 0.170 0.503 0.621
40 0.997 Excellent 54.333 96.000 1630 1630 0.00 0.001 0.547 1.667 0.172 0.509 0.967 1.130
80 0.874 Good 56.567 119.000 1697 1697 0.00 0.244 1.206 3.413 0.601 1.090 1.778 2.160


# Page stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 53.467 67.000 1604 1604 0.00 0.001 0.007 0.073 0.001 0.004 0.015 0.019
20 1.000 Excellent 103.900 123.000 3117 3117 0.00 0.001 0.010 0.245 0.002 0.005 0.018 0.030
40 1.000 Excellent 200.400 223.000 6012 6012 0.00 0.001 0.015 0.141 0.003 0.011 0.031 0.039
80 1.000 Excellent 251.233 287.000 7537 7537 0.00 0.035 0.139 0.504 0.086 0.126 0.204 0.249


# Request stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163151-sqlite
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 37.433 49.000 1123 1123 0.00 0.001 0.090 0.544 0.003 0.031 0.238 0.316
20 1.000 Excellent 50.233 76.000 1507 1507 0.00 0.001 0.216 1.002 0.004 0.170 0.503 0.621
40 0.997 Excellent 54.333 96.000 1630 1630 0.00 0.001 0.547 1.667 0.172 0.509 0.967 1.130
80 0.874 Good 56.567 119.000 1697 1697 0.00 0.244 1.206 3.413 0.601 1.090 1.778 2.160


# Request stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 53.467 67.000 1604 1604 0.00 0.001 0.007 0.073 0.001 0.004 0.015 0.019
20 1.000 Excellent 103.900 123.000 3117 3117 0.00 0.001 0.010 0.245 0.002 0.005 0.018 0.030
40 1.000 Excellent 200.400 223.000 6012 6012 0.00 0.001 0.015 0.141 0.003 0.011 0.031 0.039
80 1.000 Excellent 251.233 287.000 7537 7537 0.00 0.035 0.139 0.504 0.086 0.126 0.204 0.249


# Page stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163151-sqlite and /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 Apdex*-2 Rating-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
10 1.000 Excellent 37.433 49.000 1123 1123 0.00 0.001 0.090 0.544 0.003 0.031 0.238 0.316 10 1.000 Excellent 53.467 67.000 1604 1604 0.00 0.001 0.007 0.073 0.001 0.004 0.015 0.019
20 1.000 Excellent 50.233 76.000 1507 1507 0.00 0.001 0.216 1.002 0.004 0.170 0.503 0.621 20 1.000 Excellent 103.900 123.000 3117 3117 0.00 0.001 0.010 0.245 0.002 0.005 0.018 0.030
40 0.997 Excellent 54.333 96.000 1630 1630 0.00 0.001 0.547 1.667 0.172 0.509 0.967 1.130 40 1.000 Excellent 200.400 223.000 6012 6012 0.00 0.001 0.015 0.141 0.003 0.011 0.031 0.039
80 0.874 Good 56.567 119.000 1697 1697 0.00 0.244 1.206 3.413 0.601 1.090 1.778 2.160 80 1.000 Excellent 251.233 287.000 7537 7537 0.00 0.035 0.139 0.504 0.086 0.126 0.204 0.249


# Request stat for: /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163151-sqlite and /home/iurisilvio/code/oss/flaskr-tdd/perf/rep/test_full-20151108T163649-postgres
